doc_id,model,p_hebrew,p_semitic,delta,hyp_letters_hebrew,hyp_letters_semitic,hyp_arabic_only,aligned_f1,cer,cer_lenient
New_York_JTS_ENA_NS_2_29,claude_opus_4_8,0.0,0.0,0.0,0,0,0,0.03990024937655861,0.9208211143695014,0.9208211143695014
New_York_JTS_ENA_NS_2_29,claude_sonnet_5,0.0,0.0,0.0,0,0,0,0.05364995602462621,0.9039589442815249,0.9039589442815249
New_York_JTS_ENA_NS_2_29,gemini_flash,0.0,0.02937853107344633,0.02937853107344633,0,889,889,0.15951417004048585,0.656891495601173,0.655425219941349
New_York_JTS_ENA_NS_2_29,gemini_pro,0.0,0.06900328587075576,0.06900328587075576,0,917,917,0.21022956101490134,0.6818181818181818,0.6810850439882697
New_York_JTS_ENA_NS_2_29,gpt_5_6_sol,0.0,0.0,0.0,19,19,0,0.00432900432900433,0.9978005865102639,0.9978005865102639
New_York_JTS_ENA_NS_2_29,kraken_raw,0.0,0.0,0.0,76,91,15,0.06012024048096192,0.9618768328445748,0.9618768328445748
New_York_JTS_ENA_NS_2_29,kraken_seg,0.0,0.0,0.0,60,75,15,0.04654346338124572,0.9736070381231672,0.9736070381231672
New_York_JTS_ENA_NS_2_29,qwen3_vl_8b,0.0,0.0,0.0,6035,6035,0,0.06150121065375302,4.8695014662756595,2.972873900293255
New_York_JTS_ENA_NS_2_29,qwen3_vl_8b_heb_v16_step1100,0.0,0.0,0.0,13035,13035,0,0.029130110671483456,11.598973607038124,11.598973607038124
New_York_JTS_ENA_NS_2_29,qwen3_vl_8b_heb_v17_step800,0.0,0.0011464968152866241,0.0011464968152866241,0,15704,15704,0.018996314148001136,13.708211143695015,13.70234604105572
New_York_JTS_ENA_NS_2_29,vision_ocr_seg,0.0,0.02707581227436823,0.02707581227436823,0,558,558,0.21718146718146714,0.7008797653958945,0.7008797653958945
Cambridge_CUL_T_S_Ar_38_2,claude_opus_4_8,0.0,0.0,0.0,0,0,0,0.17009132420091322,1.19650067294751,1.19650067294751
Cambridge_CUL_T_S_Ar_38_2,claude_sonnet_5,0.0,0.09026128266033254,0.09026128266033254,0,425,425,0.2997658079625293,0.5477792732166891,0.5464333781965006
Cambridge_CUL_T_S_Ar_38_2,gemini_flash,0.0,0.16808510638297872,0.16808510638297872,0,474,474,0.386175807663411,0.531628532974428,0.531628532974428
Cambridge_CUL_T_S_Ar_38_2,gemini_pro,0.0,0.24929971988795518,0.24929971988795518,0,361,361,0.42628475147430495,0.5908479138627187,0.5895020188425303
Cambridge_CUL_T_S_Ar_38_2,gpt_5_6_sol,0.0,0.2305084745762712,0.2305084745762712,0,299,299,0.3724261414503133,0.6635262449528937,0.6635262449528937
Cambridge_CUL_T_S_Ar_38_2,kraken_raw,0.0,0.0,0.0,52,52,0,0.04417177914110429,0.9757738896366084,0.9757738896366084
Cambridge_CUL_T_S_Ar_38_2,kraken_seg,0.0,0.0,0.0,52,52,0,0.04417177914110429,0.9757738896366084,0.9757738896366084
Cambridge_CUL_T_S_Ar_38_2,qwen3_vl_8b,0.0,0.0,0.0,0,8205,8205,0.016266693443116778,12.002691790040377,6.495289367429341
Cambridge_CUL_T_S_Ar_38_2,qwen3_vl_8b_heb_v16_step1100,0.0,0.0,0.0,294,294,0,0.12477396021699817,0.9071332436069987,0.9071332436069987
Cambridge_CUL_T_S_Ar_38_2,qwen3_vl_8b_heb_v17_step800,0.0,0.0014875418371141688,0.0014875418371141688,0,13449,13449,0.01010881845751323,20.870794078061913,20.429340511440106
Cambridge_CUL_T_S_Ar_38_2,vision_ocr_seg,0.0,0.07746478873239436,0.07746478873239436,0,288,288,0.34727272727272723,0.676985195154778,0.6756393001345895
Cambridge_CUL_T_S_Ar_4_10,claude_opus_4_8,0.0,0.0,0.0,0,0,0,0.058823529411764705,0.9341950646298472,0.9341950646298472
Cambridge_CUL_T_S_Ar_4_10,claude_sonnet_5,0.0,0.10849056603773585,0.10849056603773585,0,428,428,0.48763250883392223,0.5746180963572268,0.5746180963572268
Cambridge_CUL_T_S_Ar_4_10,gemini_flash,0.0,0.2970873786407767,0.2970873786407767,0,519,519,0.4671916010498688,0.46533490011750883,0.46298472385428907
Cambridge_CUL_T_S_Ar_4_10,gemini_pro,0.0,0.3793706293706294,0.3793706293706294,0,576,576,0.6510745891276865,0.42303172737955347,0.4206815511163337
Cambridge_CUL_T_S_Ar_4_10,gpt_5_6_sol,0.0,0.09583333333333334,0.09583333333333334,0,244,244,0.2539130434782609,0.7508813160987075,0.7461809635722679
Cambridge_CUL_T_S_Ar_4_10,kraken_raw,0.0,0.0,0.0,114,127,13,0.06144697720515362,0.9494712103407755,0.9494712103407755
Cambridge_CUL_T_S_Ar_4_10,kraken_seg,0.0,0.0,0.0,114,127,13,0.04365079365079365,0.9506462984723855,0.9506462984723855
Cambridge_CUL_T_S_Ar_4_10,qwen3_vl_8b,0.0,0.0,0.0,0,8938,8938,0.00398671096345515,10.710928319623973,5.898942420681551
Cambridge_CUL_T_S_Ar_4_10,qwen3_vl_8b_heb_v16_step1100,0.0,0.0,0.0,4681,4681,0,0.035390400353904,9.437132784958871,9.437132784958871
Cambridge_CUL_T_S_Ar_4_10,qwen3_vl_8b_heb_v17_step800,0.0,0.09832635983263599,0.09832635983263599,0,482,482,0.22730422730422734,0.6439482961222092,0.6427732079905993
Cambridge_CUL_T_S_Ar_4_10,vision_ocr_seg,0.0,0.09200968523002422,0.09200968523002422,0,417,417,0.41344046749452157,0.5981198589894242,0.5934195064629847
Cambridge_CUL_T_S_Ar_19_23,claude_opus_4_8,0.0,0.0,0.0,0,0,0,0.10873786407766992,0.9137181874612043,0.9137181874612043
Cambridge_CUL_T_S_Ar_19_23,claude_sonnet_5,0.0,0.0,0.0,0,0,0,0.0012322858903265558,0.9993792675356921,0.9993792675356921
Cambridge_CUL_T_S_Ar_19_23,gpt_5_6_sol,0.0,0.5333333333333333,0.5333333333333333,0,19,19,0.026944274341702386,0.9863438857852266,0.9863438857852266
Cambridge_CUL_T_S_Ar_19_23,kraken_raw,0.0,0.0,0.0,233,240,7,0.09489427539969057,0.9428926132836747,0.9428926132836747
Cambridge_CUL_T_S_Ar_19_23,qwen3_vl_8b,0.0,0.0,0.0,10236,10236,0,0.042752267165683026,7.4400993171942895,7.4400993171942895
Cambridge_CUL_T_S_Ar_19_23,qwen3_vl_8b_heb_v16_step1100,0.0,0.0,0.0,801,801,0,0.1251439539347409,0.8814400993171942,0.8814400993171942
Cambridge_CUL_T_S_Ar_19_23,qwen3_vl_8b_heb_v17_step800,0.0,0.021710563903330857,0.021710563903330857,0,17507,17507,0.009099257033141331,13.025450031036623,13.021104903786467
