ref_doc_id,script_bucket,gt_letters,tier_a,n_pairs,mean_wrong,max_wrong,share_ge_halluc
Cambridge_CUL_T_S_13J8_2,hebrew,1155,True,594,0.009665346276448064,0.18032786885245902,0.006734006734006734
New_York_JTS_ENA_2557_1,judaeo_arabic,1423,False,599,0.009640162572148236,0.16393442622950818,0.00667779632721202
Oxford_Bodleian_MS_heb_d_68_101,judaeo_arabic,647,True,597,0.009634289984684847,0.2603576885054372,0.006700167504187605
Cambridge_CUL_T_S_13J14_7,judaeo_arabic,916,True,594,0.009612324647062178,0.12223206377325066,0.0016835016835016834
Oxford_Bodleian_MS_heb_a_3_32,untagged,1129,False,599,0.00958524383769184,0.18862690707350901,0.00667779632721202
Cambridge_CUL_T_S_10J14_13,judaeo_arabic,672,False,598,0.009574310625452767,0.17479954180985108,0.010033444816053512
Cambridge_CUL_T_S_16_256,judaeo_arabic,866,True,595,0.009560060686082202,0.10869565217391304,0.0016806722689075631
Oxford_Bodleian_MS_heb_d_79_36,judaeo_arabic,1141,False,595,0.009333510003072788,0.1,0.0016806722689075631
Cambridge_CUL_T_S_16_220,untagged,618,False,599,0.009218626924570011,0.14893617021276595,0.00333889816360601
New_York_JTS_ENA_NS_45_31,judaeo_arabic,1047,False,601,0.009057122835046987,0.13903061224489796,0.0033277870216306157
Cambridge_CUL_T_S_AS_149_4,judaeo_arabic,589,False,599,0.009009370723929279,0.3188940786499925,0.00667779632721202
Cambridge_CUL_T_S_20_101,aramaic,1369,False,599,0.00893897733295893,0.37725381414701803,0.011686143572621035
Cambridge_CUL_T_S_18J2_16,arabic_script,1313,True,593,0.008892119078838686,0.10891089108910891,0.0016863406408094434
New_York_JTS_ENA_4046_1,judaeo_arabic,558,False,599,0.008842915715190245,0.2,0.00667779632721202
Cambridge_CUL_T_S_8J8_22,judaeo_arabic,649,False,599,0.008717565817300987,0.14886243784842548,0.00333889816360601
Cambridge_CUL_T_S_8_137,judaeo_arabic,565,False,594,0.008702707422879952,0.13333333333333333,0.005050505050505051
Cambridge_CUL_T_S_18J1_14,untagged,621,True,595,0.008690826452069946,0.3592233009708738,0.013445378151260505
Cambridge_CUL_T_S_13J21_33,judaeo_arabic,905,False,598,0.008652802567363836,0.17391304347826086,0.005016722408026756
New_York_JTS_ENA_NS_39_9,judaeo_arabic,592,False,598,0.008532209325721136,0.2125960524333283,0.006688963210702341
Cambridge_CUL_T_S_16_106,hebrew,1402,False,599,0.008482112876895098,0.13924050632911392,0.005008347245409015
Cambridge_CUL_T_S_13J6_23,judaeo_arabic,683,True,594,0.008271909942180347,0.2459016393442623,0.003367003367003367
Cambridge_CUL_T_S_10J2_3,aramaic,676,True,592,0.008147337602346833,0.3163064833005894,0.016891891891891893
Cambridge_CUL_T_S_13J24_1,judaeo_arabic,663,False,599,0.008066936890628911,0.2978755461805032,0.00333889816360601
Cambridge_CUL_T_S_8J33_7,judaeo_arabic,545,False,597,0.008060730027967368,0.17025764652704536,0.006700167504187605
Cambridge_CUL_T_S_8J22_30,judaeo_arabic,698,False,598,0.007820169892826433,0.10363153232949512,0.0016722408026755853
Cambridge_CUL_T_S_13J4_10,judaeo_arabic,601,False,599,0.007726116301873379,0.13861386138613863,0.001669449081803005
Cambridge_CUL_T_S_10J13_3,judaeo_arabic,897,False,599,0.00766201717005268,0.1111111111111111,0.001669449081803005
Cambridge_Mosseri_VII_67_2,untagged,502,True,593,0.007645243442955371,0.2550851288232635,0.006745362563237774
Cambridge_CUL_T_S_20_162,judaeo_arabic,1202,False,599,0.007451779780460811,0.13903061224489796,0.001669449081803005
Cambridge_CUL_Or_1080_J262,judaeo_arabic,788,True,593,0.0074172750995150985,0.18518518518518517,0.003372681281618887
Cambridge_CUL_T_S_10J7_3,judaeo_arabic,788,False,596,0.007403493273096914,0.10526315789473684,0.0016778523489932886
Cambridge_CUL_T_S_NS_184_57,judaeo_arabic,626,False,598,0.007224193229927021,0.11426040744021258,0.0016722408026755853
Manchester_JRL_L_18,hebrew,2750,False,599,0.006925417689457661,0.14466546112115733,0.001669449081803005
Manchester_JRL_A_960,aramaic,506,True,591,0.006863151407087167,0.6425855513307985,0.01353637901861252
Oxford_Bodleian_MS_heb_d_66_32,untagged,627,True,597,0.006808843906635136,0.19047619047619047,0.0016750418760469012
Cambridge_CUL_T_S_13J13_16,hebrew,963,True,591,0.006760897136000315,0.06060606060606061,0.0
Cambridge_CUL_T_S_8J6_21,aramaic,749,False,599,0.0065970002356098055,0.12871287128712872,0.00333889816360601
Oxford_Bodleian_MS_heb_d_74_40,judaeo_arabic,597,True,597,0.006571976231209216,0.06521739130434782,0.0
Cambridge_CUL_T_S_10J9_8,judaeo_arabic,532,False,599,0.006305429303828961,0.15060240963855423,0.00333889816360601
Cambridge_CUL_T_S_13J26_15,hebrew,805,True,592,0.006260789239256276,0.07575757575757576,0.0
New_York_JTS_ENA_NS_22_6,judaeo_arabic,664,False,599,0.006036301504599316,0.1144578313253012,0.001669449081803005
Oxford_Bodleian_MS_heb_f_56_12,judaeo_arabic,481,False,599,0.006029644349135178,0.14396681749622925,0.001669449081803005
Oxford_Bodleian_MS_heb_d_66_22,aramaic,482,False,597,0.005926772015510414,0.39528432732316227,0.006700167504187605
Cambridge_CUL_T_S_AS_149_9,untagged,516,False,599,0.005916548037439719,0.08060230292294066,0.0
Oxford_Bodleian_MS_heb_c_28_66,hebrew,1016,True,593,0.005915721994314251,0.06282051282051282,0.0
Cambridge_CUL_T_S_13J25_5,untagged,1977,False,598,0.005905739425701056,0.13333333333333333,0.0016722408026755853
Cambridge_CUL_T_S_12_111,judaeo_arabic,522,False,593,0.005786664927785429,0.08795411089866156,0.0
Cambridge_CUL_T_S_16_128,judaeo_arabic,829,True,596,0.005778257055288286,0.04248907638993521,0.0
New_York_JTS_ENA_4007_6,hebrew,764,False,591,0.005619751832938297,0.07894736842105263,0.0
Cambridge_CUL_T_S_8J24_6,judaeo_arabic,544,True,593,0.0054813057015008415,0.0983170947741364,0.0
Cambridge_CUL_T_S_13J17_9,hebrew,736,False,594,0.0053034312639963985,0.05896510228640193,0.0
Cambridge_CUL_T_S_12_146,hebrew,1216,False,593,0.005090493579996454,0.07086614173228346,0.0
Cambridge_CUL_T_S_10J5_4,judaeo_arabic,483,False,598,0.005086615520078633,0.06373361458490281,0.0
Cambridge_CUL_T_S_6J6_11,judaeo_arabic,426,False,597,0.004814538859185601,0.1338432122370937,0.006700167504187605
Cambridge_CUL_T_S_10J13_11,judaeo_arabic,687,True,596,0.0044074946737671485,0.04216867469879518,0.0
Cambridge_CUL_T_S_16_232,judaeo_arabic,522,False,598,0.004380674275152097,0.1826003824091778,0.0033444816053511705
Oxford_Bodleian_MS_heb_f_108_63,judaeo_arabic,576,False,596,0.004310836512367041,0.05493133583021224,0.0
Cambridge_CUL_T_S_13J23_12,hebrew,855,False,595,0.004265107016187557,0.043478260869565216,0.0
Cambridge_CUL_T_S_6J3_23,hebrew,769,False,599,0.004141674509998699,0.03125,0.0
New_York_JTS_ENA_NS_2_31,judaeo_arabic,497,False,599,0.004127859564728214,0.08503100088573959,0.0
Cambridge_CUL_T_S_10J9_15,hebrew,547,False,597,0.003928103236099441,0.07407407407407407,0.0
Cambridge_CUL_T_S_10J14_1,hebrew,615,True,596,0.0038650424618139724,0.05714285714285714,0.0
Cambridge_CUL_T_S_10J12_9,hebrew,761,True,591,0.0037595607531824295,0.11428571428571428,0.001692047377326565
Oxford_Bodleian_MS_heb_b_11_28,hebrew,814,True,591,0.0036809679973677776,0.07142857142857142,0.0
Cambridge_CUL_T_S_10J24_3,hebrew,969,False,596,0.003302099816940992,0.029411764705882353,0.0
Cambridge_CUL_T_S_Misc_35_11,hebrew,878,True,592,0.0029751682911326872,0.027837259100642397,0.0
Cambridge_CUL_T_S_13J26_14,untagged,870,True,594,0.002686187596126366,0.04524886877828054,0.0
Cambridge_CUL_T_S_18J3_18,untagged,648,False,600,0.002601070396352415,0.1,0.0016666666666666668
Cambridge_CUL_T_S_13J23_7,hebrew,578,True,592,0.0018016658925694659,0.037037037037037035,0.0
