setting,config,model,n,pct_abstained,pct_loop_collapse,pct_hallucinated,pct_substantive,ngram_precision_median,aligned_f1_median,cer_median_substantive,n_substantive,tier_a_count,tier_changes_vs_paper
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.0,0.48854961832061067,0.2857142857142857,0.034354688950789226,0.8472144942864369,64,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.030534351145038167,0.9312977099236641,0.4797202797202797,0.5530068195908245,0.4875646650344751,122,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.07633587786259542,0.7480916030534351,0.23289183222958057,0.0832907138160298,0.7093962781526327,98,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.26717557251908397,0.030534351145038167,0.0,0.009767846390580051,0.49283102832519765,4,120,65
n=3,n3 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.21138211382113822,0.6422764227642277,0.2620689655172414,0.10770381451009722,0.8337950138504155,79,120,65
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.563995714856375,0.6785012331915609,0.43556895252449135,121,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.007633587786259542,0.9847328244274809,0.5682574916759157,0.7298245614035087,0.3543356207111666,129,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.10294117647058823,0.8970588235294118,0.24937811602628474,0.4208190704882576,0.5324881141045958,61,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.13934426229508196,0.6721311475409836,0.17416598722652532,0.19639986994052927,0.6459390424907666,82,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.13740458015267176,0.5572519083969466,0.1189358372456964,0.3658315725928162,0.46287367405978785,73,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.5419847328244275,0.35877862595419846,0.07112223016440314,0.3663003663003663,0.47964113181504486,47,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.11450381679389313,0.37404580152671757,0.07534246575342465,0.034354688950789226,0.8438617401668653,49,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.12213740458015267,0.8396946564885496,0.25565217391304346,0.5530068195908245,0.4376887340301974,110,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.5877862595419847,0.2366412213740458,0.0532994923857868,0.0832907138160298,0.4192634560906516,31,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2748091603053435,0.022900763358778626,0.0,0.009767846390580051,0.49282296650717705,3,83,28
n=4,n4 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.42276422764227645,0.43089430894308944,0.06944444444444445,0.10770381451009722,0.7417503586800573,53,83,28
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.01639344262295082,0.9754098360655737,0.4739741622733282,0.6785012331915609,0.4097222222222222,119,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.022900763358778626,0.9694656488549618,0.4758842443729904,0.7298245614035087,0.3442176870748299,127,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.4117647058823529,0.5882352941176471,0.17384144907080687,0.4208190704882576,0.43185620461501834,40,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.38524590163934425,0.4262295081967213,0.06427047553150303,0.19639986994052927,0.5418522930315665,52,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.2900763358778626,0.40458015267175573,0.06472491909385113,0.3658315725928162,0.4162962962962963,53,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.6793893129770993,0.22137404580152673,0.02888086642599278,0.3663003663003663,0.43458475540386804,29,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.21374045801526717,0.2748091603053435,0.0,0.034354688950789226,0.7362920315522685,36,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.29770992366412213,0.6641221374045801,0.1672473867595819,0.5530068195908245,0.37896825396825395,87,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.6870229007633588,0.13740458015267176,0.010084033613445379,0.0832907138160298,0.37312945575289147,18,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2824427480916031,0.015267175572519083,0.0,0.009767846390580051,0.49283102832519765,2,55,0
n=5,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.5447154471544715,0.3089430894308943,0.023809523809523808,0.10770381451009722,0.6456186700364754,38,55,0
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.040983606557377046,0.9508196721311475,0.41133278581832833,0.6785012331915609,0.39113458539149626,116,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.03816793893129771,0.9541984732824428,0.41097560975609754,0.7298245614035087,0.34355044699872284,125,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.4852941176470588,0.5147058823529411,0.1216667809610221,0.4208190704882576,0.3895184135977337,35,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.4672131147540984,0.3442622950819672,0.03853013473302899,0.19639986994052927,0.46792369647718834,42,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.3816793893129771,0.31297709923664124,0.03919372900335946,0.3658315725928162,0.3972602739726027,41,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.732824427480916,0.16793893129770993,0.013769363166953529,0.3663003663003663,0.3425218844130563,22,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.2366412213740458,0.25190839694656486,0.0,0.034354688950789226,0.6460287679799875,33,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.42748091603053434,0.5343511450381679,0.11838006230529595,0.5530068195908245,0.3631510362801473,70,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.7175572519083969,0.10687022900763359,0.00030054097375275494,0.0832907138160298,0.3463218793567483,14,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2824427480916031,0.015267175572519083,0.0,0.009767846390580051,0.49283102832519765,2,37,18
n=6,n6 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.6504065040650406,0.2032520325203252,0.0,0.10770381451009722,0.4827295703454086,25,37,18
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.10655737704918032,0.8852459016393442,0.3200051243748625,0.6785012331915609,0.3611656447894329,108,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.10687022900763359,0.8854961832061069,0.3193863319386332,0.7298245614035087,0.33023974755313823,116,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.5588235294117647,0.4411764705882353,0.05457351290684624,0.4208190704882576,0.3473273574484834,30,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.5491803278688525,0.26229508196721313,0.016807909604519774,0.19639986994052927,0.3847665174083889,32,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.4961832061068702,0.1984732824427481,0.015113350125944584,0.3658315725928162,0.35179145947274315,26,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.8320610687022901,0.06870229007633588,0.0029211295034079843,0.3663003663003663,0.27365554799183117,9,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.31297709923664124,0.17557251908396945,0.0,0.034354688950789226,0.6460287679799875,23,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.5954198473282443,0.366412213740458,0.061224489795918366,0.5530068195908245,0.3200337214439795,48,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.7633587786259542,0.061068702290076333,0.0,0.0832907138160298,0.3303729132888289,8,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2900763358778626,0.007633587786259542,0.0,0.009767846390580051,0.49282296650717705,1,24,31
n=8,n8 unclipped hebrew h0.10 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.7154471544715447,0.13821138211382114,0.0,0.10770381451009722,0.42303664921465967,17,24,31
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.0,0.9918032786885246,0.4739741622733282,0.6785012331915609,0.43556895252449135,121,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.007633587786259542,0.9847328244274809,0.4758842443729904,0.7298245614035087,0.3543356207111666,129,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.20588235294117646,0.7941176470588235,0.17384144907080687,0.4208190704882576,0.5156908331751755,54,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.28688524590163933,0.5245901639344263,0.06427047553150303,0.19639986994052927,0.5819794490745389,64,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.1297709923664122,0.5648854961832062,0.06472491909385113,0.3658315725928162,0.46596452432631086,74,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.549618320610687,0.3511450381679389,0.02888086642599278,0.3663003663003663,0.48002652366949206,46,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.16793893129770993,0.32061068702290074,0.0,0.034354688950789226,0.7749064680912296,42,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.1450381679389313,0.816793893129771,0.1672473867595819,0.5530068195908245,0.42920353982300885,107,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.6030534351145038,0.22137404580152673,0.010084033613445379,0.0832907138160298,0.41361256544502617,29,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,qwen3_vl_8b,131,0.11450381679389313,0.5877862595419847,0.2748091603053435,0.022900763358778626,0.0,0.009767846390580051,0.49282296650717705,3,55,0
h=0.05,n5 unclipped hebrew h0.05 t0.25 l0.45 a25,vision_ocr_seg,123,0.13821138211382114,0.008130081300813009,0.44715447154471544,0.4065040650406504,0.023809523809523808,0.10770381451009722,0.7317058064672063,50,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_seg,122,0.00819672131147541,0.0,0.01639344262295082,0.9754098360655737,0.4739741622733282,0.6785012331915609,0.4097222222222222,119,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,kraken_raw,131,0.007633587786259542,0.0,0.022900763358778626,0.9694656488549618,0.4758842443729904,0.7298245614035087,0.3442176870748299,127,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_pro,68,0.0,0.0,0.4117647058823529,0.5882352941176471,0.17384144907080687,0.4208190704882576,0.43185620461501834,40,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gemini_flash,122,0.11475409836065574,0.07377049180327869,0.38524590163934425,0.4262295081967213,0.06427047553150303,0.19639986994052927,0.5418522930315665,52,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_opus_4_8,131,0.2824427480916031,0.022900763358778626,0.2900763358778626,0.40458015267175573,0.06472491909385113,0.3658315725928162,0.4162962962962963,53,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,claude_sonnet_5,131,0.08396946564885496,0.015267175572519083,0.6793893129770993,0.22137404580152673,0.02888086642599278,0.3663003663003663,0.43458475540386804,29,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,gpt_5_6_sol,131,0.5038167938931297,0.007633587786259542,0.21374045801526717,0.2748091603053435,0.0,0.034354688950789226,0.7362920315522685,36,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v17_step800,131,0.007633587786259542,0.030534351145038167,0.29770992366412213,0.6641221374045801,0.1672473867595819,0.5530068195908245,0.37896825396825395,87,55,0
h=0.10,n5 unclipped hebrew h0.10 t0.25 l0.45 a25,qwen3_vl_8b_heb_v16_step1100,131,0.007633587786259542,0.16793893129770993,0.6870229007633588,0.13740458015267176,0.010084033613445379,0.0832907138160298,0.37312945575289147,18,55,0
