doc_id,section,model,cer_strict,cer_lenient,gt_chars,source_run
02_2_page_001,gemara,claude_opus_4_8,0.6659528907922913,0.017130620985010708,469,talmud-fill-claude-37pages
02_2b_page_001,gemara,claude_opus_4_8,0.09071504802561366,0.09071504802561366,938,talmud-fill-claude-37pages
02_3_page_001,gemara,claude_opus_4_8,2.152542372881356,1.1316818774445894,768,talmud-fill-claude-37pages
02_3b_page_001,gemara,claude_opus_4_8,1.1008902077151335,1.1008902077151335,1349,talmud-fill-claude-37pages
02_4_page_001,gemara,claude_opus_4_8,2.4612644701691897,1.170080142475512,1127,talmud-fill-claude-37pages
02_4b_page_001,gemara,claude_opus_4_8,3.4700413223140494,3.4700413223140494,969,talmud-fill-claude-37pages
02_5_page_001,gemara,claude_opus_4_8,0.8731132075471698,0.8731132075471698,2122,talmud-fill-claude-37pages
02_5b_page_001,gemara,claude_opus_4_8,0.051829268292682924,0.051829268292682924,1313,talmud-fill-claude-37pages
02_6_page_001,gemara,claude_opus_4_8,0.29164477141355755,0.29164477141355755,1904,talmud-fill-claude-37pages
02_6b_page_001,gemara,claude_opus_4_8,0.13673805601317957,0.13673805601317957,1216,talmud-fill-claude-37pages
02_7_page_001,gemara,claude_opus_4_8,0.022410660205935795,0.022410660205935795,1652,talmud-fill-claude-37pages
02_7b_page_001,gemara,claude_opus_4_8,0.15309842041312272,0.15309842041312272,1649,talmud-fill-claude-37pages
02_8_page_001,gemara,claude_opus_4_8,1.4982778415614237,0.6142365097588978,873,talmud-fill-claude-37pages
02_8b_page_001,gemara,claude_opus_4_8,0.058858501783590964,0.058858501783590964,1684,talmud-fill-claude-37pages
02_9_page_001,gemara,claude_opus_4_8,0.14091470951792337,0.14091470951792337,810,talmud-fill-claude-37pages
02_9b_page_001,gemara,claude_opus_4_8,0.42121445042275174,0.42121445042275174,1302,talmud-fill-claude-37pages
01_10_page_001,rashi,claude_opus_4_8,0.8540344514959202,0.6103542234332425,1104,talmud-20260713-133127
01_10b_page_001,rashi,claude_opus_4_8,0.9039098740888005,0.7620941020543406,1510,talmud-20260713-133127
01_11_page_001,rashi,claude_opus_4_8,0.38453445554971066,0.38453445554971066,1902,talmud-20260713-133127
01_11b_page_001,rashi,claude_opus_4_8,0.9436392914653784,0.9436392914653784,2485,talmud-20260713-133127
01_12_page_001,rashi,claude_opus_4_8,0.8259599332220368,0.823873121869783,2397,talmud-20260713-133127
01_12b_page_001,rashi,claude_opus_4_8,0.40020314880650076,0.40020314880650076,1970,talmud-20260713-133127
01_13_page_001,rashi,claude_opus_4_8,0.9484777517564403,0.9484777517564403,1711,talmud-fill-claude-37pages
01_13b_page_001,rashi,claude_opus_4_8,0.833984375,0.8203125,1537,talmud-20260713-133127
01_14_page_001,rashi,claude_opus_4_8,1.0809768637532133,1.0809768637532133,779,talmud-20260713-133127
01_14b_page_001,rashi,claude_opus_4_8,0.9541905257678293,0.9541905257678293,1925,talmud-20260713-133127
01_15_page_001,rashi,claude_opus_4_8,0.8920073215375229,0.8920073215375229,1640,talmud-20260713-133127
01_15b_page_001,rashi,claude_opus_4_8,0.3923141891891892,0.3923141891891892,2370,talmud-20260713-133127
01_2_page_001,rashi,claude_opus_4_8,0.3672069825436409,0.3672069825436409,1605,talmud-20260713-133127
01_2b_page_001,rashi,claude_opus_4_8,0.46047008547008544,0.46047008547008544,1873,talmud-20260713-133127
01_3_page_001,rashi,claude_opus_4_8,0.8836923076923077,0.8584615384615385,1626,talmud-20260713-133127
01_3b_page_001,rashi,claude_opus_4_8,0.9319727891156463,0.9319727891156463,1912,talmud-20260713-133127
01_4_page_001,rashi,claude_opus_4_8,0.4580152671755725,0.4580152671755725,2752,talmud-20260713-133127
01_4b_page_001,rashi,claude_opus_4_8,0.7414965986394558,0.14285714285714285,1471,talmud-20260713-133127
01_5_page_001,rashi,claude_opus_4_8,0.4777327935222672,0.4777327935222672,1483,talmud-20260713-133127
01_5b_page_001,rashi,claude_opus_4_8,0.93542953396968,0.93542953396968,1783,talmud-20260713-133127
01_6_page_001,rashi,claude_opus_4_8,0.9566596194503171,0.9566596194503171,1893,talmud-20260713-133127
01_6b_page_001,rashi,claude_opus_4_8,0.6227575602255254,0.6227575602255254,1952,talmud-20260713-133127
01_7_page_001,rashi,claude_opus_4_8,0.8050921861281826,0.7699736611062336,1140,talmud-20260713-133127
01_7b_page_001,rashi,claude_opus_4_8,0.7341269841269841,0.7341269841269841,1010,talmud-20260713-133127
01_8_page_001,rashi,claude_opus_4_8,0.669481302774427,0.08624849215922799,1659,talmud-20260713-133127
01_8b_page_001,rashi,claude_opus_4_8,0.85,0.7421568627450981,1021,talmud-20260713-133127
01_9_page_001,rashi,claude_opus_4_8,0.10877513711151737,0.10877513711151737,2189,talmud-20260713-133127
01_9b_page_001,rashi,claude_opus_4_8,0.3079526226734349,0.3079526226734349,1183,talmud-20260713-133127
02_10_page_001,rashi,claude_opus_4_8,0.08054054054054054,0.08054054054054054,1851,talmud-20260713-133127
02_10b_page_001,rashi,claude_opus_4_8,0.7273777435502503,0.7273777435502503,2598,talmud-fill-claude-37pages
02_11_page_001,rashi,claude_opus_4_8,0.9123259412068077,0.9123259412068077,1940,talmud-fill-claude-37pages
02_11b_page_001,rashi,claude_opus_4_8,0.8733446519524618,0.8702886247877759,2946,talmud-fill-claude-37pages
02_12_page_001,rashi,claude_opus_4_8,0.9625267665952891,0.9625267665952891,2803,talmud-fill-claude-37pages
02_12b_page_001,rashi,claude_opus_4_8,0.8463949843260188,0.8463949843260188,1596,talmud-fill-claude-37pages
02_13_page_001,rashi,claude_opus_4_8,0.9153024911032028,0.9153024911032028,1406,talmud-fill-claude-37pages
02_13b_page_001,rashi,claude_opus_4_8,0.7595581988105352,0.7595581988105352,2356,talmud-fill-claude-37pages
02_14_page_001,rashi,claude_opus_4_8,0.25936599423631124,0.25936599423631124,2431,talmud-fill-claude-37pages
02_14b_page_001,rashi,claude_opus_4_8,0.6494334277620396,0.6253541076487252,2825,talmud-fill-claude-37pages
02_15_page_001,rashi,claude_opus_4_8,0.6277104005880191,0.6277104005880191,2722,talmud-fill-claude-37pages
02_15b_page_001,rashi,claude_opus_4_8,0.9173942243116185,0.9173942243116185,1490,talmud-fill-claude-37pages
02_16_page_001,rashi,claude_opus_4_8,0.9168591224018475,0.9168591224018475,1300,talmud-fill-claude-37pages
02_16b_page_001,rashi,claude_opus_4_8,0.838012958963283,0.8215982721382289,2316,talmud-fill-claude-37pages
02_17_page_001,rashi,claude_opus_4_8,0.8101202404809619,0.7575150300601202,1997,talmud-fill-claude-37pages
02_17b_page_001,rashi,claude_opus_4_8,0.9007907979870596,0.9007907979870596,1392,talmud-fill-claude-37pages
02_18_page_001,rashi,claude_opus_4_8,0.3858520900321543,0.3858520900321543,2489,talmud-fill-claude-37pages
02_18b_page_001,rashi,claude_opus_4_8,0.7810858143607706,0.2171628721541156,1714,talmud-fill-claude-37pages
02_19_page_001,rashi,claude_opus_4_8,0.9241854636591479,0.9241854636591479,1597,talmud-fill-claude-37pages
02_19b_page_001,rashi,claude_opus_4_8,0.7689213893967093,0.7689213893967093,2736,talmud-fill-claude-37pages
02_20_page_001,rashi,claude_opus_4_8,0.9814267623469819,0.7264668636555509,2370,talmud-fill-claude-37pages
02_2_page_001,rashi,claude_opus_4_8,0.17690140845070423,0.17690140845070423,1776,talmud-fill-claude-37pages
02_2b_page_001,rashi,claude_opus_4_8,0.7636790869419268,0.7636790869419268,2980,talmud-fill-claude-37pages
02_3_page_001,rashi,claude_opus_4_8,0.7698986975397974,0.7698986975397974,1384,talmud-fill-claude-37pages
02_3b_page_001,rashi,claude_opus_4_8,0.7868790291998483,0.5494880546075085,2638,talmud-fill-claude-37pages
02_4_page_001,rashi,claude_opus_4_8,0.8314606741573034,0.8314606741573034,1069,talmud-fill-claude-37pages
02_4b_page_001,rashi,claude_opus_4_8,0.6402877697841727,0.6402877697841727,696,talmud-fill-claude-37pages
02_5_page_001,rashi,claude_opus_4_8,0.5170618854829381,0.5170618854829381,1730,talmud-fill-claude-37pages
02_5b_page_001,rashi,claude_opus_4_8,0.7571644042232277,0.697209653092006,2654,talmud-fill-claude-37pages
02_6_page_001,rashi,claude_opus_4_8,0.6807473598700243,0.28472786352558893,2463,talmud-fill-claude-37pages
02_6b_page_001,rashi,claude_opus_4_8,0.538289129622712,0.538289129622712,2678,talmud-fill-claude-37pages
02_7_page_001,rashi,claude_opus_4_8,0.7707752370329057,0.7707752370329057,3587,talmud-fill-claude-37pages
02_7b_page_001,rashi,claude_opus_4_8,0.907469342251951,0.907469342251951,1795,talmud-fill-claude-37pages
